id,candidate_id,reviewer_id,decision,reviewed_at,criteria,flags,comment,previous_status,new_status
r-en-001,30000000-0000-4000-8000-000000000001,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-en-002,30000000-0000-4000-8000-000000000002,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-en-003,30000000-0000-4000-8000-000000000003,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-en-004,30000000-0000-4000-8000-000000000004,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-en-007,30000000-0000-4000-8000-000000000007,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-en-008,30000000-0000-4000-8000-000000000008,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-en-009,30000000-0000-4000-8000-000000000009,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-en-010,30000000-0000-4000-8000-000000000010,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-en-011,30000000-0000-4000-8000-000000000011,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-en-012,30000000-0000-4000-8000-000000000012,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-en-013,30000000-0000-4000-8000-000000000013,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-en-014,30000000-0000-4000-8000-000000000014,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-en-015,30000000-0000-4000-8000-000000000015,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-en-016,30000000-0000-4000-8000-000000000016,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-en-017,30000000-0000-4000-8000-000000000017,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-en-018,30000000-0000-4000-8000-000000000018,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
