id,candidate_id,reviewer_id,decision,reviewed_at,criteria,flags,comment,previous_status,new_status
r-nn-001,20000000-0000-4000-8000-000000000001,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nn-002,20000000-0000-4000-8000-000000000002,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nn-003,20000000-0000-4000-8000-000000000003,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nn-004,20000000-0000-4000-8000-000000000004,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nn-007,20000000-0000-4000-8000-000000000007,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nn-008,20000000-0000-4000-8000-000000000008,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nn-009,20000000-0000-4000-8000-000000000009,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nn-010,20000000-0000-4000-8000-000000000010,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nn-011,20000000-0000-4000-8000-000000000011,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nn-012,20000000-0000-4000-8000-000000000012,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nn-013,20000000-0000-4000-8000-000000000013,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nn-014,20000000-0000-4000-8000-000000000014,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nn-015,20000000-0000-4000-8000-000000000015,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nn-016,20000000-0000-4000-8000-000000000016,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nn-017,20000000-0000-4000-8000-000000000017,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nn-018,20000000-0000-4000-8000-000000000018,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
